arg-id,x,y,probability,cluster-id
A1_0,3.9007041,5.8866463,0.0,1
A1_1,3.4094014,5.805153,1.0,1
A1_2,3.2032015,5.2386675,1.0,1
A2_0,1.2551266,4.614198,0.0,0
A2_1,1.2344348,4.5686493,0.0,0
A2_2,2.9863415,5.3097057,1.0,1
A3_0,2.4124484,7.45724,1.0,1
A3_1,6.171255,4.139402,0.0,2
A3_2,1.9736081,6.3665953,1.0,1
A3_3,1.1305689,3.6837456,1.0,0
A4_0,1.5015299,6.304734,1.0,1
A4_1,5.797469,3.403527,0.0,2
A4_2,1.2299844,3.4204574,0.0,0
A4_3,5.869322,4.135232,1.0,2
A5_0,0.65661997,4.445614,1.0,0
A5_1,6.3138037,3.188118,1.0,2
A5_2,3.0241885,7.5838227,0.6327333727867043,1
A5_3,6.06839,2.7947574,1.0,2
A5_4,3.3578594,7.1210318,0.6569462617615237,1
A6_0,2.8044786,6.3860774,0.8679408410673454,1
A6_1,1.0852721,4.3287616,0.8434321575327236,0
A6_2,5.049038,2.7240322,1.0,2
A7_0,6.3319116,3.4661372,0.0,2
A7_1,5.7146297,3.98643,0.8331873163809826,2
A7_2,4.319595,3.7439063,1.0,2
A7_3,0.5131771,6.303797,1.0,1
A8_0,1.525122,7.466659,1.0,1
A8_1,5.4789076,3.8858056,0.0,2
A8_2,0.88499194,4.1194253,1.0,0
A8_3,5.8688374,4.4894667,0.8726922892837152,2
A8_4,0.6007935,6.5905204,1.0,1
A9_0,4.241158,7.219278,1.0,1
A9_1,4.43541,7.0853224,0.9420579432882584,1
A9_2,4.4054766,6.9295645,1.0,1
A9_3,4.7726493,4.4769616,0.0,2
A9_4,3.375428,7.3430634,0.6656814697221699,1
A10_0,2.409942,7.432576,1.0,1
A10_1,6.16642,3.6781373,1.0,2
A10_2,4.260629,6.4386415,0.0,1
A10_3,4.2377334,7.2464676,1.0,1
A10_4,3.8262,7.0696893,0.7868936737148534,1
A10_5,0.92549247,8.041437,1.0,1
A11_0,4.265335,6.9757223,0.9780443081802592,1
A11_1,1.4179323,7.454493,1.0,1
A11_2,1.2964995,7.4258685,1.0,1
A11_3,0.55997705,5.4280567,1.0,0
A12_0,5.0847974,2.6776714,1.0,2
A12_1,5.0646,2.7675602,1.0,2
A12_2,1.0735623,8.15721,0.6160858787901283,1
A13_0,1.8765042,5.1593657,0.6082283334259796,0
A13_1,5.430734,4.552869,1.0,2
A14_0,1.5346324,6.838546,0.0,1
A14_1,3.2900262,6.428046,1.0,1
A14_2,0.36580792,6.3554535,1.0,1
A14_3,0.4586369,5.8828497,1.0,0
A14_4,0.9058551,4.378179,1.0,0
A15_0,4.295148,6.825887,0.9780443081802592,1
A15_1,5.916514,4.358307,1.0,2
A15_2,3.4343808,7.6675744,0.613076570762908,1
A16_0,0.9326267,4.2544584,1.0,0
A16_1,4.156775,3.1539629,0.0,2
A16_2,3.927624,6.316143,0.0,1
A16_3,2.1382043,4.106419,1.0,0
A16_4,3.2664425,4.726342,0.6018743676351578,0
A16_5,1.4128817,4.398395,0.0,0
A16_6,1.042873,3.985363,1.0,0
